date,category,amount
2024-08-26,Alimentación,14235
2024-08-27,Educación,92332
2024-08-27,Transporte,6608
2024-08-28,Mascotas,27575
2024-08-31,Alimentación,43201
2024-09-02,Transporte,11507
2024-09-04,Transporte,16232
2024-09-05,Vivienda,436530
2024-09-07,Alimentación,43514
2024-09-10,Alimentación,37387
2024-09-10,Alimentación,40146
2024-09-10,Entretenimiento,44927
2024-09-10,Servicios básicos,103239
2024-09-11,Transporte,27371
2024-09-12,Alimentación,33293
2024-09-12,Alimentación,42834
2024-09-14,Alimentación,29184
2024-09-14,Alimentación,42529
2024-09-15,Pago de deudas y créditos,117222
2024-09-17,Transporte,16826
2024-09-17,Transporte,24645
2024-09-18,Alimentación,47692
2024-09-18,Entretenimiento,41108
2024-09-18,Transporte,23989
2024-09-19,Transporte,18874
2024-09-21,Alimentación,26922
2024-09-22,Transporte,20744
2024-09-23,Alimentación,25240
2024-09-24,Alimentación,29956
2024-09-24,Salud,60745
2024-09-26,Alimentación,28977
2024-09-26,Transporte,17381
2024-09-27,Alimentación,47681
2024-10-03,Entretenimiento,32032
2024-10-04,Alimentación,30690
2024-10-04,Alimentación,50625
2024-10-04,Transporte,11417
2024-10-04,Transporte,24644
2024-10-05,Vivienda,418347
2024-10-06,Alimentación,37172
2024-10-08,Alimentación,37092
2024-10-09,Entretenimiento,43716
2024-10-10,Alimentación,32109
2024-10-10,Servicios básicos,104180
2024-10-11,Alimentación,41533
2024-10-11,Educación,34517
2024-10-12,Alimentación,40719
2024-10-15,Pago de deudas y créditos,131855
2024-10-16,Alimentación,50271
2024-10-18,Transporte,29746
2024-10-20,Alimentación,33098
2024-10-21,Alimentación,13464
2024-10-21,Transporte,12898
2024-10-22,Transporte,7810
2024-10-25,Alimentación,30249
2024-10-25,Entretenimiento,30004
2024-10-29,Alimentación,26776
2024-10-29,Mascotas,21007
2024-10-30,Entretenimiento,31877
2024-11-04,Alimentación,24698
2024-11-05,Alimentación,21530
2024-11-05,Alimentación,36170
2024-11-05,Transporte,15937
2024-11-05,Transporte,22526
2024-11-05,Vivienda,415004
2024-11-07,Alimentación,37896
2024-11-07,Mascotas,15983
2024-11-09,Transporte,21242
2024-11-10,Servicios básicos,100875
2024-11-11,Entretenimiento,20728
2024-11-12,Alimentación,45290
2024-11-13,Otros gastos,38220
2024-11-14,Alimentación,24666
2024-11-15,Pago de deudas y créditos,127856
2024-11-15,Transporte,14308
2024-11-18,Transporte,13533
2024-11-18,Transporte,15864
2024-11-19,Transporte,19665
2024-11-22,Entretenimiento,45445
2024-11-23,Alimentación,41474
2024-11-24,Alimentación,21135
2024-11-25,Entretenimiento,29725
2024-11-27,Salud,35654
2024-11-28,Alimentación,35311
2024-11-30,Entretenimiento,38363
2024-12-01,Alimentación,38146
2024-12-02,Alimentación,23689
2024-12-02,Entretenimiento,67592
2024-12-04,Entretenimiento,29353
2024-12-05,Vivienda,415765
2024-12-06,Transporte,17572
2024-12-07,Alimentación,29147
2024-12-08,Transporte,19192
2024-12-10,Servicios básicos,91674
2024-12-11,Transporte,21683
2024-12-12,Otros gastos,34940
2024-12-14,Transporte,18305
2024-12-15,Pago de deudas y créditos,133708
2024-12-16,Alimentación,21007
2024-12-18,Transporte,27102
2024-12-19,Alimentación,30577
2024-12-20,Alimentación,34741
2024-12-21,Alimentación,21527
2024-12-21,Alimentación,27456
2024-12-22,Alimentación,32584
2024-12-22,Mascotas,41635
2024-12-22,Transporte,22821
2024-12-24,Salud,56369
2024-12-25,Alimentación,39478
2024-12-25,Transporte,23387
2024-12-26,Alimentación,18999
2024-12-28,Alimentación,19213
2025-01-02,Alimentación,32588
2025-01-05,Otros gastos,10062
2025-01-05,Vivienda,412913
2025-01-07,Alimentación,44764
2025-01-10,Servicios básicos,106572
2025-01-11,Transporte,16614
2025-01-12,Transporte,23675
2025-01-13,Alimentación,39975
2025-01-14,Alimentación,43204
2025-01-15,Alimentación,20577
2025-01-15,Mascotas,18571
2025-01-15,Pago de deudas y créditos,127011
2025-01-16,Alimentación,29017
2025-01-16,Transporte,7388
2025-01-17,Transporte,25030
2025-01-20,Transporte,16613
2025-01-20,Transporte,22865
2025-01-21,Alimentación,41434
2025-01-22,Transporte,11677
2025-01-24,Alimentación,24739
2025-01-26,Alimentación,28223
2025-01-26,Transporte,35337
2025-01-27,Alimentación,28040
2025-01-28,Entretenimiento,1
2025-01-28,Transporte,26542
2025-01-30,Salud,67100
2025-01-31,Entretenimiento,37113
2025-02-02,Mascotas,17606
2025-02-02,Transporte,15282
2025-02-02,Transporte,27247
2025-02-05,Alimentación,34305
2025-02-05,Alimentación,38581
2025-02-05,Transporte,5164
2025-02-05,Transporte,26435
2025-02-05,Vivienda,432732
2025-02-06,Transporte,22507
2025-02-07,Alimentación,39808
2025-02-09,Transporte,22330
2025-02-10,Servicios básicos,67294
2025-02-11,Educación,67895
2025-02-12,Alimentación,24293
2025-02-12,Entretenimiento,31872
2025-02-12,Transporte,18176
2025-02-15,Pago de deudas y créditos,133631
2025-02-17,Entretenimiento,46419
2025-02-18,Alimentación,17899
2025-02-18,Alimentación,22317
2025-02-18,Entretenimiento,42441
2025-02-19,Otros gastos,40949
2025-02-21,Alimentación,16017
2025-02-21,Transporte,20365
2025-02-22,Alimentación,44642
2025-02-22,Entretenimiento,39690
2025-02-24,Alimentación,41301
2025-02-25,Transporte,20022
2025-02-26,Alimentación,41937
2025-03-01,Otros gastos,90679
2025-03-03,Alimentación,13855
2025-03-03,Transporte,26761
2025-03-04,Transporte,26844
2025-03-05,Vivienda,432915
2025-03-06,Alimentación,24663
2025-03-06,Alimentación,26864
2025-03-06,Educación,64448
2025-03-07,Alimentación,45229
2025-03-07,Transporte,24485
2025-03-10,Servicios básicos,73982
2025-03-12,Entretenimiento,21156
2025-03-14,Alimentación,31628
2025-03-14,Mascotas,25519
2025-03-15,Pago de deudas y créditos,138280
2025-03-15,Transporte,27288
2025-03-16,Alimentación,32739
2025-03-23,Transporte,8534
2025-03-24,Transporte,24343
2025-03-27,Alimentación,28892
2025-03-28,Alimentación,24247
2025-03-29,Transporte,16366
2025-03-30,Transporte,17334
2025-04-02,Alimentación,22854
2025-04-03,Transporte,20958
2025-04-04,Alimentación,23222
2025-04-04,Transporte,12493
2025-04-05,Alimentación,37607
2025-04-05,Mascotas,53289
2025-04-05,Vivienda,406254
2025-04-09,Alimentación,21070
2025-04-09,Alimentación,32653
2025-04-10,Servicios básicos,84505
2025-04-12,Alimentación,33817
2025-04-12,Alimentación,35100
2025-04-13,Alimentación,24822
2025-04-13,Otros gastos,47293
2025-04-15,Alimentación,20898
2025-04-15,Alimentación,35571
2025-04-15,Pago de deudas y créditos,133537
2025-04-15,Transporte,26096
2025-04-17,Transporte,22365
2025-04-18,Transporte,18505
2025-04-19,Entretenimiento,19774
2025-04-19,Transporte,14362
2025-04-19,Transporte,20911
2025-04-20,Educación,98599
2025-04-25,Alimentación,28310
2025-04-29,Alimentación,42900
2025-04-30,Alimentación,40874
2025-05-02,Alimentación,37012
2025-05-03,Alimentación,56040
2025-05-05,Alimentación,37042
2025-05-05,Transporte,25562
2025-05-05,Vivienda,435551
2025-05-07,Alimentación,32028
2025-05-08,Alimentación,25421
2025-05-08,Entretenimiento,38326
2025-05-10,Alimentación,25625
2025-05-10,Servicios básicos,101450
2025-05-12,Otros gastos,34062
2025-05-13,Transporte,33395
2025-05-14,Entretenimiento,25665
2025-05-15,Pago de deudas y créditos,134252
2025-05-16,Alimentación,26033
2025-05-16,Transporte,12186
2025-05-17,Alimentación,33312
2025-05-17,Mascotas,34528
2025-05-17,Transporte,14773
2025-05-23,Alimentación,38470
2025-05-24,Alimentación,32177
2025-05-24,Transporte,20484
2025-05-25,Alimentación,37744
2025-05-25,Entretenimiento,42780
2025-05-29,Alimentación,30261
2025-05-31,Alimentación,21085
2025-06-01,Alimentación,48819
2025-06-02,Alimentación,31289
2025-06-02,Entretenimiento,53759
2025-06-02,Transporte,25115
2025-06-03,Alimentación,38186
2025-06-04,Transporte,9947
2025-06-05,Vivienda,426852
2025-06-06,Mascotas,13393
2025-06-10,Servicios básicos,74526
2025-06-12,Alimentación,35452
2025-06-12,Transporte,14522
2025-06-13,Alimentación,53499
2025-06-15,Pago de deudas y créditos,125631
2025-06-18,Transporte,24919
2025-06-21,Entretenimiento,64923
2025-06-23,Transporte,33090
2025-06-23,Transporte,35135
2025-06-25,Alimentación,32104
2025-06-26,Alimentación,28649
2025-06-26,Alimentación,34914
2025-06-27,Entretenimiento,25313
2025-06-30,Entretenimiento,28806
2025-07-01,Alimentación,34398
2025-07-02,Alimentación,28988
2025-07-03,Alimentación,30188
2025-07-03,Transporte,21307
2025-07-04,Educación,62161
2025-07-05,Entretenimiento,20753
2025-07-05,Vivienda,419670
2025-07-06,Alimentación,42926
2025-07-06,Transporte,22953
2025-07-07,Transporte,20702
2025-07-08,Alimentación,24159
2025-07-08,Alimentación,36800
2025-07-10,Servicios básicos,93667
2025-07-12,Transporte,20289
2025-07-14,Otros gastos,62647
2025-07-15,Alimentación,22185
2025-07-15,Pago de deudas y créditos,133015
2025-07-16,Alimentación,23028
2025-07-17,Transporte,22170
2025-07-18,Alimentación,21834
2025-07-18,Alimentación,22442
2025-07-19,Transporte,15830
2025-07-21,Transporte,12942
2025-07-21,Transporte,19241
2025-07-23,Entretenimiento,42009
2025-07-27,Mascotas,41550
2025-07-31,Transporte,18957
2025-08-01,Alimentación,43798
2025-08-03,Transporte,18855
2025-08-04,Transporte,10162
2025-08-05,Entretenimiento,52137
2025-08-05,Vivienda,416245
2025-08-08,Alimentación,36460
2025-08-08,Transporte,17225
2025-08-10,Servicios básicos,85926
2025-08-14,Entretenimiento,35428
2025-08-15,Pago de deudas y créditos,127808
2025-08-18,Alimentación,31781
2025-08-19,Alimentación,43338
2025-08-20,Transporte,4917
2025-08-21,Alimentación,38800
2025-08-21,Mascotas,31915
2025-08-22,Alimentación,27787
2025-08-22,Transporte,11188
2025-08-24,Alimentación,32143
2025-08-24,Alimentación,37660
2025-08-29,Alimentación,31936
2025-08-30,Alimentación,34162
2025-08-31,Educación,108961
2025-08-31,Transporte,21553
2025-09-01,Transporte,22358
2025-09-04,Transporte,14022
2025-09-05,Vivienda,412832
2025-09-06,Otros gastos,69779
2025-09-08,Transporte,38414
2025-09-09,Alimentación,29653
2025-09-09,Entretenimiento,21748
2025-09-10,Alimentación,31398
2025-09-10,Servicios básicos,94452
2025-09-10,Transporte,24070
2025-09-11,Transporte,19397
2025-09-12,Entretenimiento,31755
2025-09-15,Alimentación,15196
2025-09-15,Alimentación,36753
2025-09-15,Pago de deudas y créditos,136128
2025-09-18,Entretenimiento,52048
2025-09-20,Alimentación,29889
2025-09-21,Transporte,22121
2025-09-23,Transporte,36278
2025-09-25,Alimentación,26595
2025-09-26,Transporte,17113
2025-09-27,Mascotas,24244
2025-09-28,Alimentación,22768
2025-09-28,Alimentación,39896
2025-09-28,Transporte,16387
2025-09-30,Entretenimiento,39645
2025-10-01,Transporte,26769
2025-10-02,Alimentación,20767
2025-10-04,Mascotas,29128
2025-10-05,Vivienda,432872
2025-10-10,Alimentación,21712
2025-10-10,Servicios básicos,74958
2025-10-12,Alimentación,25706
2025-10-12,Otros gastos,26080
2025-10-12,Transporte,9373
2025-10-13,Transporte,17484
2025-10-14,Transporte,18841
2025-10-15,Pago de deudas y créditos,153708
2025-10-16,Alimentación,50716
2025-10-17,Transporte,18024
2025-10-18,Alimentación,35316
2025-10-18,Educación,50884
2025-10-19,Transporte,23224
2025-10-20,Entretenimiento,35756
2025-10-21,Alimentación,26487
2025-10-23,Alimentación,35327
2025-10-24,Alimentación,26793
2025-10-25,Alimentación,26503
2025-10-27,Alimentación,15864
2025-10-27,Salud,60351
2025-10-28,Transporte,12877
2025-10-28,Transporte,27231
2025-10-31,Alimentación,19427
2025-10-31,Alimentación,30896
2025-10-31,Alimentación,45707
2025-11-02,Entretenimiento,31468
2025-11-02,Entretenimiento,39118
2025-11-04,Alimentación,23590
2025-11-04,Entretenimiento,22637
2025-11-04,Mascotas,31810
2025-11-05,Alimentación,35477
2025-11-05,Vivienda,429955
2025-11-07,Alimentación,21559
2025-11-08,Alimentación,33607
2025-11-10,Alimentación,37367
2025-11-10,Servicios básicos,62788
2025-11-11,Alimentación,32409
2025-11-11,Alimentación,37275
2025-11-14,Alimentación,26580
2025-11-14,Transporte,29692
2025-11-15,Pago de deudas y créditos,113449
2025-11-15,Transporte,18146
2025-11-16,Entretenimiento,38594
2025-11-20,Alimentación,14955
2025-11-20,Otros gastos,59306
2025-11-22,Transporte,21481
2025-11-23,Salud,41211
2025-11-25,Alimentación,50925
2025-11-25,Transporte,18868
2025-11-28,Alimentación,18773
2025-11-29,Alimentación,35821
2025-11-30,Alimentación,11316
2025-11-30,Transporte,24126
2025-12-03,Alimentación,22748
2025-12-05,Vivienda,445804
2025-12-06,Alimentación,31356
2025-12-08,Alimentación,17922
2025-12-10,Alimentación,43328
2025-12-10,Servicios básicos,82581
2025-12-11,Alimentación,20982
2025-12-12,Alimentación,35101
2025-12-14,Alimentación,26134
2025-12-15,Pago de deudas y créditos,130218
2025-12-17,Alimentación,19753
2025-12-17,Transporte,17071
2025-12-17,Transporte,19769
2025-12-20,Alimentación,29931
2025-12-20,Entretenimiento,31457
2025-12-20,Entretenimiento,35630
2025-12-21,Alimentación,32141
2025-12-24,Transporte,28390
2025-12-25,Transporte,18374
2025-12-27,Transporte,15985
2025-12-28,Entretenimiento,46560
2025-12-28,Transporte,12997
2025-12-28,Transporte,20538
2025-12-30,Alimentación,18484
2026-01-02,Alimentación,41277
2026-01-02,Transporte,18811
2026-01-03,Transporte,23074
2026-01-04,Entretenimiento,26442
2026-01-05,Vivienda,453508
2026-01-09,Transporte,22463
2026-01-10,Servicios básicos,101090
2026-01-11,Alimentación,32352
2026-01-12,Alimentación,30898
2026-01-12,Transporte,19254
2026-01-13,Alimentación,23094
2026-01-13,Alimentación,33069
2026-01-13,Mascotas,14820
2026-01-14,Alimentación,37391
2026-01-14,Transporte,28681
2026-01-15,Otros gastos,26391
2026-01-15,Pago de deudas y créditos,140683
2026-01-16,Alimentación,16109
2026-01-17,Entretenimiento,50371
2026-01-18,Alimentación,45993
2026-01-19,Alimentación,22122
2026-01-20,Alimentación,32585
2026-01-21,Entretenimiento,46636
2026-01-22,Alimentación,36587
2026-01-23,Transporte,27866
2026-01-26,Alimentación,30547
2026-01-26,Educación,134337
2026-01-26,Transporte,20366
2026-01-27,Alimentación,38816
2026-01-28,Entretenimiento,27221
2026-01-30,Salud,100800
2026-01-30,Transporte,20900
2026-01-31,Transporte,9078
2026-02-01,Entretenimiento,45007
2026-02-01,Salud,86641
2026-02-03,Alimentación,20806
2026-02-03,Entretenimiento,28998
2026-02-05,Vivienda,438933
2026-02-06,Alimentación,42381
2026-02-07,Transporte,8499
2026-02-08,Otros gastos,34721
2026-02-10,Alimentación,39513
2026-02-10,Servicios básicos,88649
2026-02-10,Transporte,12097
2026-02-13,Entretenimiento,41942
2026-02-14,Alimentación,12604
2026-02-14,Alimentación,34317
2026-02-14,Transporte,21066
2026-02-15,Alimentación,23137
2026-02-15,Pago de deudas y créditos,150265
2026-02-16,Alimentación,41069
2026-02-17,Transporte,17781
2026-02-18,Alimentación,39586
2026-02-20,Transporte,28778
2026-02-21,Transporte,17675
2026-02-25,Transporte,11074
2026-02-25,Transporte,22085
2026-02-26,Alimentación,26613
2026-02-27,Alimentación,42138
2026-03-03,Alimentación,10815
2026-03-03,Alimentación,42918
2026-03-05,Alimentación,33038
2026-03-05,Mascotas,21089
2026-03-05,Transporte,17815
2026-03-05,Vivienda,423948
2026-03-07,Alimentación,23358
2026-03-07,Alimentación,26668
2026-03-07,Alimentación,27212
2026-03-09,Alimentación,27597
2026-03-09,Entretenimiento,44548
2026-03-09,Transporte,21472
2026-03-10,Servicios básicos,102120
2026-03-10,Transporte,17957
2026-03-12,Alimentación,28282
2026-03-12,Transporte,18136
2026-03-13,Alimentación,19085
2026-03-15,Pago de deudas y créditos,131175
2026-03-16,Alimentación,33341
2026-03-16,Transporte,15483
2026-03-18,Transporte,26368
2026-03-20,Alimentación,42199
2026-03-23,Entretenimiento,43324
2026-03-26,Alimentación,22662
2026-03-26,Transporte,14653
2026-03-27,Educación,87945
2026-03-31,Entretenimiento,6824
2026-04-01,Alimentación,14552
2026-04-01,Alimentación,20008
2026-04-03,Salud,15543
2026-04-05,Vivienda,421630
2026-04-07,Alimentación,41299
2026-04-08,Transporte,12169
2026-04-10,Servicios básicos,84141
2026-04-12,Transporte,22322
2026-04-14,Transporte,19441
2026-04-15,Mascotas,30113
2026-04-15,Pago de deudas y créditos,118735
2026-04-17,Alimentación,29136
2026-04-17,Entretenimiento,32228
2026-04-19,Transporte,30112
2026-04-20,Transporte,15942
2026-04-21,Alimentación,38018
2026-04-21,Educación,103502
2026-04-21,Entretenimiento,24647
2026-04-23,Transporte,9888
2026-04-23,Transporte,22057
2026-04-27,Alimentación,31411
2026-04-27,Alimentación,38249
2026-04-28,Transporte,27049
2026-04-29,Alimentación,29545
2026-05-02,Alimentación,33159
2026-05-04,Alimentación,42475
2026-05-05,Vivienda,416929
2026-05-06,Alimentación,42040
2026-05-07,Alimentación,27558
2026-05-07,Transporte,10858
2026-05-08,Alimentación,35120
2026-05-10,Servicios básicos,109899
2026-05-10,Transporte,17465
2026-05-12,Alimentación,29075
2026-05-13,Alimentación,40051
2026-05-13,Transporte,16633
2026-05-14,Alimentación,35253
2026-05-14,Transporte,13297
2026-05-15,Alimentación,26247
2026-05-15,Pago de deudas y créditos,138924
2026-05-18,Transporte,21649
2026-05-19,Entretenimiento,52116
2026-05-20,Entretenimiento,38811
2026-05-24,Alimentación,31664
2026-05-24,Mascotas,22853
2026-05-25,Transporte,14154
2026-05-27,Transporte,21793
2026-05-28,Entretenimiento,37493
2026-05-29,Transporte,17758
2026-05-31,Alimentación,19374
2026-06-05,Transporte,20376
2026-06-05,Vivienda,441647
2026-06-06,Alimentación,35136
2026-06-09,Alimentación,33452
2026-06-09,Alimentación,37021
2026-06-09,Transporte,20477
2026-06-10,Alimentación,50186
2026-06-10,Servicios básicos,90516
2026-06-11,Entretenimiento,26874
2026-06-11,Transporte,14382
2026-06-13,Transporte,28364
2026-06-14,Alimentación,33186
2026-06-15,Alimentación,39643
2026-06-15,Pago de deudas y créditos,119257
2026-06-22,Transporte,16355
2026-06-23,Alimentación,27474
2026-06-24,Alimentación,36918
2026-06-24,Transporte,24495
2026-06-25,Alimentación,34672
2026-06-25,Transporte,13371
2026-06-27,Alimentación,34322
2026-06-28,Alimentación,29764
2026-06-28,Transporte,20481
2026-06-29,Alimentación,33510
2026-06-30,Entretenimiento,59182
2026-06-30,Otros gastos,21000
2026-06-30,Otros gastos,39716
