year,month,period,category,monthly_amount,transaction_count
2024,9,2024-09,Vivienda,436530.0,1
2024,10,2024-10,Alimentación,423798.0,12
2024,10,2024-10,Educación,34517.0,1
2024,10,2024-10,Entretenimiento,137629.0,4
2024,10,2024-10,Mascotas,21007.0,1
2024,10,2024-10,Pago de deudas y créditos,131855.0,1
2024,10,2024-10,Servicios básicos,104180.0,1
2024,10,2024-10,Transporte,86515.0,5
2024,10,2024-10,Vivienda,418347.0,1
2024,11,2024-11,Alimentación,288170.0,9
2024,11,2024-11,Entretenimiento,134261.0,4
2024,11,2024-11,Mascotas,15983.0,1
2024,11,2024-11,Otros gastos,38220.0,1
2024,11,2024-11,Pago de deudas y créditos,127856.0,1
2024,11,2024-11,Salud,35654.0,1
2024,11,2024-11,Servicios básicos,100875.0,1
2024,11,2024-11,Transporte,123075.0,7
2024,11,2024-11,Vivienda,415004.0,1
2024,12,2024-12,Alimentación,336564.0,12
2024,12,2024-12,Entretenimiento,96945.0,2
2024,12,2024-12,Mascotas,41635.0,1
2024,12,2024-12,Otros gastos,34940.0,1
2024,12,2024-12,Pago de deudas y créditos,133708.0,1
2024,12,2024-12,Salud,56369.0,1
2024,12,2024-12,Servicios básicos,91674.0,1
2024,12,2024-12,Transporte,150062.0,7
2024,12,2024-12,Vivienda,415765.0,1
2025,1,2025-01,Alimentación,332561.0,10
2025,1,2025-01,Entretenimiento,37114.0,2
2025,1,2025-01,Mascotas,18571.0,1
2025,1,2025-01,Otros gastos,10062.0,1
2025,1,2025-01,Pago de deudas y créditos,127011.0,1
2025,1,2025-01,Salud,67100.0,1
2025,1,2025-01,Servicios básicos,106572.0,1
2025,1,2025-01,Transporte,185741.0,9
2025,1,2025-01,Vivienda,412913.0,1
2025,2,2025-02,Alimentación,321100.0,10
2025,2,2025-02,Educación,67895.0,1
2025,2,2025-02,Entretenimiento,160422.0,4
2025,2,2025-02,Mascotas,17606.0,1
2025,2,2025-02,Otros gastos,40949.0,1
2025,2,2025-02,Pago de deudas y créditos,133631.0,1
2025,2,2025-02,Servicios básicos,67294.0,1
2025,2,2025-02,Transporte,177528.0,9
2025,2,2025-02,Vivienda,432732.0,1
2025,3,2025-03,Alimentación,228117.0,8
2025,3,2025-03,Educación,64448.0,1
2025,3,2025-03,Entretenimiento,21156.0,1
2025,3,2025-03,Mascotas,25519.0,1
2025,3,2025-03,Otros gastos,90679.0,1
2025,3,2025-03,Pago de deudas y créditos,138280.0,1
2025,3,2025-03,Servicios básicos,73982.0,1
2025,3,2025-03,Transporte,171955.0,8
2025,3,2025-03,Vivienda,432915.0,1
2025,4,2025-04,Alimentación,399698.0,13
2025,4,2025-04,Educación,98599.0,1
2025,4,2025-04,Entretenimiento,19774.0,1
2025,4,2025-04,Mascotas,53289.0,1
2025,4,2025-04,Otros gastos,47293.0,1
2025,4,2025-04,Pago de deudas y créditos,133537.0,1
2025,4,2025-04,Servicios básicos,84505.0,1
2025,4,2025-04,Transporte,135690.0,7
2025,4,2025-04,Vivienda,406254.0,1
2025,5,2025-05,Alimentación,432250.0,13
2025,5,2025-05,Entretenimiento,106771.0,3
2025,5,2025-05,Mascotas,34528.0,1
2025,5,2025-05,Otros gastos,34062.0,1
2025,5,2025-05,Pago de deudas y créditos,134252.0,1
2025,5,2025-05,Servicios básicos,101450.0,1
2025,5,2025-05,Transporte,106400.0,5
2025,5,2025-05,Vivienda,435551.0,1
2025,6,2025-06,Alimentación,302912.0,8
2025,6,2025-06,Entretenimiento,172801.0,4
2025,6,2025-06,Mascotas,13393.0,1
2025,6,2025-06,Pago de deudas y créditos,125631.0,1
2025,6,2025-06,Servicios básicos,74526.0,1
2025,6,2025-06,Transporte,142728.0,6
2025,6,2025-06,Vivienda,426852.0,1
2025,7,2025-07,Alimentación,286948.0,10
2025,7,2025-07,Educación,62161.0,1
2025,7,2025-07,Entretenimiento,62762.0,2
2025,7,2025-07,Mascotas,41550.0,1
2025,7,2025-07,Otros gastos,62647.0,1
2025,7,2025-07,Pago de deudas y créditos,133015.0,1
2025,7,2025-07,Servicios básicos,93667.0,1
2025,7,2025-07,Transporte,174391.0,9
2025,7,2025-07,Vivienda,419670.0,1
2025,8,2025-08,Alimentación,357865.0,10
2025,8,2025-08,Educación,108961.0,1
2025,8,2025-08,Entretenimiento,87565.0,2
2025,8,2025-08,Mascotas,31915.0,1
2025,8,2025-08,Pago de deudas y créditos,127808.0,1
2025,8,2025-08,Servicios básicos,85926.0,1
2025,8,2025-08,Transporte,83900.0,6
2025,8,2025-08,Vivienda,416245.0,1
2025,9,2025-09,Alimentación,232148.0,8
2025,9,2025-09,Entretenimiento,145196.0,4
2025,9,2025-09,Mascotas,24244.0,1
2025,9,2025-09,Otros gastos,69779.0,1
2025,9,2025-09,Pago de deudas y créditos,136128.0,1
2025,9,2025-09,Servicios básicos,94452.0,1
2025,9,2025-09,Transporte,210160.0,9
2025,9,2025-09,Vivienda,412832.0,1
2025,10,2025-10,Alimentación,381221.0,13
2025,10,2025-10,Educación,50884.0,1
2025,10,2025-10,Entretenimiento,35756.0,1
2025,10,2025-10,Mascotas,29128.0,1
2025,10,2025-10,Otros gastos,26080.0,1
2025,10,2025-10,Pago de deudas y créditos,153708.0,1
2025,10,2025-10,Salud,60351.0,1
2025,10,2025-10,Servicios básicos,74958.0,1
2025,10,2025-10,Transporte,153823.0,8
2025,10,2025-10,Vivienda,432872.0,1
2025,11,2025-11,Alimentación,379654.0,13
2025,11,2025-11,Entretenimiento,131817.0,4
2025,11,2025-11,Mascotas,31810.0,1
2025,11,2025-11,Otros gastos,59306.0,1
2025,11,2025-11,Pago de deudas y créditos,113449.0,1
2025,11,2025-11,Salud,41211.0,1
2025,11,2025-11,Servicios básicos,62788.0,1
2025,11,2025-11,Transporte,112313.0,5
2025,11,2025-11,Vivienda,429955.0,1
2025,12,2025-12,Alimentación,297880.0,11
2025,12,2025-12,Entretenimiento,113647.0,3
2025,12,2025-12,Pago de deudas y créditos,130218.0,1
2025,12,2025-12,Servicios básicos,82581.0,1
2025,12,2025-12,Transporte,133124.0,7
2025,12,2025-12,Vivienda,445804.0,1
2026,1,2026-01,Alimentación,420840.0,13
2026,1,2026-01,Educación,134337.0,1
2026,1,2026-01,Entretenimiento,150670.0,4
2026,1,2026-01,Mascotas,14820.0,1
2026,1,2026-01,Otros gastos,26391.0,1
2026,1,2026-01,Pago de deudas y créditos,140683.0,1
2026,1,2026-01,Salud,100800.0,1
2026,1,2026-01,Servicios básicos,101090.0,1
2026,1,2026-01,Transporte,190493.0,9
2026,1,2026-01,Vivienda,453508.0,1
2026,2,2026-02,Alimentación,322164.0,10
2026,2,2026-02,Entretenimiento,115947.0,3
2026,2,2026-02,Otros gastos,34721.0,1
2026,2,2026-02,Pago de deudas y créditos,150265.0,1
2026,2,2026-02,Salud,86641.0,1
2026,2,2026-02,Servicios básicos,88649.0,1
2026,2,2026-02,Transporte,139055.0,8
2026,2,2026-02,Vivienda,438933.0,1
2026,3,2026-03,Alimentación,337175.0,12
2026,3,2026-03,Educación,87945.0,1
2026,3,2026-03,Entretenimiento,94696.0,3
2026,3,2026-03,Mascotas,21089.0,1
2026,3,2026-03,Pago de deudas y créditos,131175.0,1
2026,3,2026-03,Servicios básicos,102120.0,1
2026,3,2026-03,Transporte,131884.0,7
2026,3,2026-03,Vivienda,423948.0,1
2026,4,2026-04,Alimentación,242218.0,8
2026,4,2026-04,Educación,103502.0,1
2026,4,2026-04,Entretenimiento,56875.0,2
2026,4,2026-04,Mascotas,30113.0,1
2026,4,2026-04,Pago de deudas y créditos,118735.0,1
2026,4,2026-04,Salud,15543.0,1
2026,4,2026-04,Servicios básicos,84141.0,1
2026,4,2026-04,Transporte,158980.0,8
2026,4,2026-04,Vivienda,421630.0,1
2026,5,2026-05,Alimentación,362016.0,11
2026,5,2026-05,Entretenimiento,128420.0,3
2026,5,2026-05,Mascotas,22853.0,1
2026,5,2026-05,Pago de deudas y créditos,138924.0,1
2026,5,2026-05,Servicios básicos,109899.0,1
2026,5,2026-05,Transporte,133607.0,8
2026,5,2026-05,Vivienda,416929.0,1
2026,6,2026-06,Alimentación,425284.0,12
2026,6,2026-06,Entretenimiento,86056.0,2
2026,6,2026-06,Otros gastos,60716.0,2
2026,6,2026-06,Pago de deudas y créditos,119257.0,1
2026,6,2026-06,Servicios básicos,90516.0,1
2026,6,2026-06,Transporte,158301.0,8
2026,6,2026-06,Vivienda,441647.0,1
